model	parname	begin	num	default	type	pim.type	link	formula	share	pair	mix	rows	secondary	bystratum	tostrata	sub.stratum	leave.unused	socc	subset	events			
RDPdfHuggins	p	0	0	0	Square	all	logit	~1	FALSE	c			TRUE										
RDPdfHuggins	c	1	-1	0	Square	all	logit			p			TRUE										
RDPdfHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHet	f	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdfHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDPdfHet	f0	0			Square	all	log	~session					TRUE										
RDPdfFullHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfFullHet	f	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdfFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDPdfFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDPdfFullHet	f0	0			Square	all	log	~session			FALSE		TRUE										
RDPdfHugFullHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHugFullHet	f	0	-1	1	Square	all	logit	~1					FALSE										
RDPdfHugFullHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdfHugFullHet	p	0	0	0	Square	all	logit	~1	FALSE	c	TRUE	0	TRUE										
RDPdfHugFullHet	c	1	-1	0	Square	all	logit			p	TRUE	0	TRUE										
RDPdGHugHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHugHet	Gamma	0	-1	1	Square	all	logit	~1					FALSE										
RDPdGHugHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
RDPdGHugHet	p	0		0	Square	all	logit	~1			TRUE	0	TRUE										
RDPdLHugHet	Phi	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHugHet	Lambda	0	-1	1	Square	all	logit	~1					FALSE										
RDPdLHugHet	pi	0		0	Square	all	logit	~1			TRUE	-1	TRUE										
